OBJECTID,TYPE,NAME,ZD_NAME,FULL_NAME,DISTRICT_NO
2320,,,LOS NIETOS - SANTA FE SPRINGS,ZD: LOS NIETOS - SANTA FE SPRINGS,92
2321,,,LOS NIETOS - SANTA FE SPRINGS,ZD: LOS NIETOS - SANTA FE SPRINGS,92
2322,,,LOS NIETOS - SANTA FE SPRINGS,ZD: LOS NIETOS - SANTA FE SPRINGS,92
2323,,,MONTROSE,ZD: MONTROSE,26
2324,,,MOUNT GLEASON,ZD: MOUNT GLEASON,75
2325,,,MOUNTAIN PARK,ZD: MOUNTAIN PARK,120
2326,,,NEWHALL,ZD: NEWHALL,118
2327,,,NEWHALL,ZD: NEWHALL,118
2329,,,NEWHALL,ZD: NEWHALL,118
2330,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2331,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2332,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2333,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2334,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2335,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2336,,,NORTH CLAREMONT,ZD: NORTH CLAREMONT,79
2337,,,NORTH PALMDALE,ZD: NORTH PALMDALE,95
2338,,,NORTH PALMDALE,ZD: NORTH PALMDALE,95
2339,,,NORTH PALMDALE,ZD: NORTH PALMDALE,95
2340,,,NORTHEAST PASADENA,ZD: NORTHEAST PASADENA,85
2341,,,NORTHEAST PASADENA,ZD: NORTHEAST PASADENA,85
2342,,,NORTHWEST EL MONTE,ZD: NORTHWEST EL MONTE,49
2343,,,NORWALK,ZD: NORWALK,33
2344,,,NORWALK,ZD: NORWALK,33
2345,,,NORWALK,ZD: NORWALK,33
2346,,,PALMDALE,ZD: PALMDALE,54
2347,,,PALMDALE,ZD: PALMDALE,54
2348,,,PALMDALE,ZD: PALMDALE,54
2349,,,PALMDALE,ZD: PALMDALE,54
2350,,,PALMDALE,ZD: PALMDALE,54
2351,,,PALOS VERDES PENINSULA,ZD: PALOS VERDES PENINSULA,112
2352,,,PARAMOUNT,ZD: PARAMOUNT,84
2353,,,PICO,ZD: PICO,53
2354,,,PLAYA DEL REY,ZD: PLAYA DEL REY,89
2355,,,PLAYA DEL REY,ZD: PLAYA DEL REY,89
2356,,,PUENTE,ZD: PUENTE,76
2357,,,PUENTE,ZD: PUENTE,76
2358,,,PUENTE,ZD: PUENTE,76
2359,,,PUENTE,ZD: PUENTE,76
2360,,,PUENTE,ZD: PUENTE,76
2361,,,PUENTE,ZD: PUENTE,76
2362,,,QUARTZ HILL,ZD: QUARTZ HILL,98
2363,,,QUARTZ HILL,ZD: QUARTZ HILL,98
2364,,,QUARTZ HILL,ZD: QUARTZ HILL,98
2365,,,QUARTZ HILL,ZD: QUARTZ HILL,98
2366,,,QUARTZ HILL,ZD: QUARTZ HILL,98
2367,,,ROLLING HILLS,ZD: ROLLING HILLS,101
2368,,,ROOSEVELT PARK,ZD: ROOSEVELT PARK,44
2369,,,ROSEMEAD,ZD: ROSEMEAD,20
2370,,,SAN DIMAS,ZD: SAN DIMAS,70
2371,,,SAN DIMAS,ZD: SAN DIMAS,70
2372,,,SAN DIMAS,ZD: SAN DIMAS,70
2373,,,SAN DIMAS,ZD: SAN DIMAS,70
2374,,,SAN GABRIEL WATERSHED,ZD: SAN GABRIEL WATERSHED,121
2375,,,SAN JOSE,ZD: SAN JOSE,21
2376,,,SAN JOSE,ZD: SAN JOSE,21
2377,,,SAN PASQUAL,ZD: SAN PASQUAL,11
2378,,,SAND CANYON,ZD: SAND CANYON,106
2379,,,SAND CANYON,ZD: SAND CANYON,106
2380,,,SAND CANYON,ZD: SAND CANYON,106
2381,,,SAND CANYON,ZD: SAND CANYON,106
2382,,,SAND CANYON,ZD: SAND CANYON,106
2383,,,SANTA CATALINA ISLAND,ZD: SANTA CATALINA ISLAND,127
2384,,,SANTA CATALINA ISLAND,ZD: SANTA CATALINA ISLAND,127
2385,,,SAWTELLE,ZD: SAWTELLE,124
2386,,,SOLEDAD,ZD: SOLEDAD,117
2387,,,SOLEDAD,ZD: SOLEDAD,117
2388,,,SOUTH ARCADIA,ZD: SOUTH ARCADIA,67
2389,,,SOUTH ARCADIA,ZD: SOUTH ARCADIA,67
2390,,,SOUTH ARCADIA,ZD: SOUTH ARCADIA,67
2391,,,SOUTH EL MONTE,ZD: SOUTH EL MONTE,96
2392,,,SOUTH EL MONTE,ZD: SOUTH EL MONTE,96
2393,,,SOUTH SAN GABRIEL,ZD: SOUTH SAN GABRIEL,78
2394,,,SOUTH SAN GABRIEL,ZD: SOUTH SAN GABRIEL,78
2395,,,SOUTH SANTA ANITA - TEMPLE CITY,ZD: SOUTH SANTA ANITA - TEMPLE CITY,8
2396,,,SOUTHEAST WHITTIER,ZD: SOUTHEAST WHITTIER,82
2397,,,SOUTHEAST WHITTIER,ZD: SOUTHEAST WHITTIER,82
2398,,,SOUTHEAST WHITTIER,ZD: SOUTHEAST WHITTIER,82
2399,,,STARK PALMS,ZD: STARK PALMS,15
2400,,,SUNSHINE ACRES,ZD: SUNSHINE ACRES,48
2401,,,SUNSHINE ACRES,ZD: SUNSHINE ACRES,48
2402,,,THE MALIBU,ZD: THE MALIBU,110
2403,,,THE MALIBU,ZD: THE MALIBU,110
2404,,,THE MALIBU,ZD: THE MALIBU,110
2405,,,THE MALIBU,ZD: THE MALIBU,110
2406,,,UNIVERSAL CITY,ZD: UNIVERSAL CITY,UC
2407,,,VICTORIA,ZD: VICTORIA,111
2408,,,VICTORIA,ZD: VICTORIA,111
2409,,,VICTORIA,ZD: VICTORIA,111
2410,,,VIEW PARK,ZD: VIEW PARK,68
2411,,,WALNUT,ZD: WALNUT,52
2412,,,WALNUT,ZD: WALNUT,52
2413,,,WALNUT,ZD: WALNUT,52
2414,,,WALNUT PARK,ZD: WALNUT PARK,7
2415,,,WEST ATHENS - WESTMONT,ZD: WEST ATHENS - WESTMONT,128
2416,,,WHITTIER DOWNS,ZD: WHITTIER DOWNS,43
2417,,,WHITTIER DOWNS,ZD: WHITTIER DOWNS,43
2418,,,WHITTIER NARROWS,ZD: WHITTIER NARROWS,108
2419,,,WILLOWBROOK - ENTERPRISE,ZD: WILLOWBROOK - ENTERPRISE,34
2420,,,WILLOWBROOK - ENTERPRISE,ZD: WILLOWBROOK - ENTERPRISE,34
2421,,,WILLOWBROOK - ENTERPRISE,ZD: WILLOWBROOK - ENTERPRISE,34
2422,,,WORKMAN MILL,ZD: WORKMAN MILL,97
2423,,,WORKMAN MILL,ZD: WORKMAN MILL,97
3815,,,PALMDALE,ZD: PALMDALE,54
4223,,,NEWHALL,ZD: NEWHALL,118
